Indicator_cases,Country,Date,cases,Indicator_deaths,deaths
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-07,9862.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4408.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-09,9862.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4408.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-13,9862.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4408.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-14,9862.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4408.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-15,10042.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4486.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-16,10042.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4486.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-17,10042.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4486.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-20,10042.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4486.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-21,10042.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4486.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-22,10212.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4573.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-23,10212.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4573.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-24,10212.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4573.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-27,10212.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4573.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-28,10322.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4608.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-30,10322.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4608.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-01,10322.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4608.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-04,10322.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4608.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-05,10507.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4691.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-06,10564.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4716.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-07,10564.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4716.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-08,10564.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4716.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-11,10604.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4769.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-12,10604.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4769.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-13,10604.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4769.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-14,10604.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4769.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-15,10604.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4769.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-18,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-19,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-20,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-21,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-22,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-25,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-26,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-27,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-28,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-05-29,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-01,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-02,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-03,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-04,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-05,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-08,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-09,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-10,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-11,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-12,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-15,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-16,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-17,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-18,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-19,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-22,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-23,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-24,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-25,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-26,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-29,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-06-30,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-01,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-02,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-03,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-06,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-07,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-08,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-09,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-10,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-13,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-14,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-15,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-16,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-17,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-20,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-21,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-22,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-23,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-24,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-27,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-28,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-29,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-30,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-07-31,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-03,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-04,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-05,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-06,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-07,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-10,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-11,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-12,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-13,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-14,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-17,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-18,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-19,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-20,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-21,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-24,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-25,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-26,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-27,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-28,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-08-31,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-01,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-02,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-03,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-04,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-07,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-08,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-09,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-10,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-11,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-14,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-15,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-16,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-17,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-18,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-21,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-22,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-23,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-24,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-25,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-28,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-29,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-09-30,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-01,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-02,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-05,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-06,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-07,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-08,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-09,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-13,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-15,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-16,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-20,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-22,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-23,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-26,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-27,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-29,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-10-30,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-03,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-05,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-06,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-10,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-11,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-12,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-16,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-17,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-20,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-24,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-11-26,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-01,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-02,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-03,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-09,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-10,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-11,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-15,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-16,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-17,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-22,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-23,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-12-29,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2016-03-23,10666.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4806.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-25,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-29,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-31,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-05,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-07,1.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-12,4.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",4.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-14,4.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",3.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-19,6.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",5.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-21,6.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-26,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-01,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-03,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-10,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-15,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-17,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-22,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-23,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-24,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-26,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-29,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-30,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-31,8.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",6.0
