Indicator_cases,Country,Date,cases,Indicator_deaths,deaths
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-08,2776.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1786.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-09,2793.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1797.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-12,2799.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1807.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-13,2799.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1807.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-14,2806.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1814.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-15,2817.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1821.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-16,2825.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1829.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-19,2873.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1875.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-20,2871.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1876.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-21,2871.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1876.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-22,2873.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1879.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-23,2873.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1880.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-26,2909.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1906.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-27,2917.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1910.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-28,2917.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1910.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-29,2921.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1911.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-30,2920.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1913.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-02,2959.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1937.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-03,2975.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1944.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-04,2975.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1944.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-05,2986.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1947.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-06,2988.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1957.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-10,3044.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1995.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-11,3044.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",1995.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-12,3068.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2018.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-13,3081.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2032.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-16,3101.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2052.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-17,3108.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2057.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-18,3108.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2057.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-19,3115.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2067.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-20,3120.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2072.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-23,3155.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2086.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-25,3155.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2091.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-26,3175.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2101.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-27,3190.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2113.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-02,3205.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2127.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-04,3205.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2127.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-05,3237.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2141.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-06,3248.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2147.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-10,3285.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2170.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-11,3285.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2170.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-12,3330.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2187.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-13,3331.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2192.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-16,3373.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2216.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-17,3389.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2224.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-18,3389.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2224.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-20,3404.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2241.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-23,3420.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2261.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-24,3429.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2263.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-25,3429.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2263.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-26,3459.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2273.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-27,3466.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2276.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-07,3515.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2333.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-09,3515.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2335.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-13,3541.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2342.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-14,3548.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2346.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-15,3548.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2346.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-16,3566.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2348.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-17,3569.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2351.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-20,3565.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2357.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-21,3565.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2358.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-22,3565.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2358.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-23,3568.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2362.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-24,3576.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2365.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-27,3585.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2374.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-28,3584.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2377.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-30,3581.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2381.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-01,3578.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2383.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-04,3591.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2385.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-05,3589.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2386.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-06,3589.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2386.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-07,3592.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2387.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-08,3592.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2387.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-05-11,3599.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",2391.0
